MLP Training & Testing: Experiment 3
UCI Handwritten Letter Recognition
Iteration 98 Error: 2.7877436430134357
Iteration 99 Error: 2.813955260268431
Iteration 100 Error: 2.763623982533142
Iteration 101 Error: 2.7700573421425743
Iteration 102 Error: 2.758572230014391
Iteration 103 Error: 2.770501190659531
Iteration 104 Error: 2.7465113627352067
Iteration 105 Error: 2.7536512826473225
Iteration 106 Error: 2.736465153300006
Iteration 107 Error: 2.7456826782734938
Iteration 108 Error: 2.726837178673483
Iteration 109 Error: 2.736268955210638
Iteration 110 Error: 2.7169251259819975
Iteration 111 Error: 2.7271950474203512
Iteration 112 Error: 2.7071982967009007
Iteration 113 Error: 2.7190335254310396
Iteration 114 Error: 2.6979726124742336
Iteration 115 Error: 2.711947625815903
Iteration 116 Error: 2.689457572591157
Iteration 117 Error: 2.705556790288636
Iteration 118 Error: 2.682411814460383
Iteration 119 Error: 2.7008058756490456
Iteration 120 Error: 2.6800195395106376
Iteration 121 Error: 2.689827033044148
Iteration 122 Error: 2.668511653160702
Iteration 123 Error: 2.6737889057476676
Iteration 124 Error: 2.663986482781712
Iteration 125 Error: 2.6764014772475955
Iteration 126 Error: 2.6669438208112433
Iteration 127 Error: 2.6795778006433895
Iteration 128 Error: 2.669704711278852
Iteration 129 Error: 2.6951177749397695
Iteration 130 Error: 2.6696541131243565
Iteration 131 Error: 2.681635706605708
Iteration 132 Error: 2.6478302288837923
Iteration 133 Error: 2.659252360661545
Iteration 134 Error: 2.6360697680433924
Iteration 135 Error: 2.6463773588065296
Iteration 136 Error: 2.6327438871614395
Iteration 137 Error: 2.642456272951474
Iteration 138 Error: 2.6253677268735744
Iteration 139 Error: 2.6313923507936243
Iteration 140 Error: 2.6209352382180486
Iteration 141 Error: 2.629852216967596
Iteration 142 Error: 2.6188356608152303
Iteration 143 Error: 2.632613696450223
Iteration 144 Error: 2.6217910525833084
Iteration 145 Error: 2.6323812683838472
Iteration 146 Error: 2.6231661812564315
Iteration 147 Error: 2.627629591900575
Iteration 148 Error: 2.6296251999767426
Iteration 149 Error: 2.65667015030539
Iteration 150 Error: 2.6369442825975167
Iteration 151 Error: 2.6338297931376946
Iteration 152 Error: 2.608073984379079
Iteration 153 Error: 2.601051535808368
Iteration 154 Error: 2.613778861345457
Iteration 155 Error: 2.6128310417335605
Iteration 156 Error: 2.608282869039882
Iteration 157 Error: 2.6069820352848594
Iteration 158 Error: 2.5987189936601025
Iteration 159 Error: 2.5910735532195934
Iteration 160 Error: 2.588619040199782
Iteration 161 Error: 2.578439853405379
Iteration 162 Error: 2.572886953291135
Iteration 163 Error: 2.5757165665690422
Iteration 164 Error: 2.564884420648008
Iteration 165 Error: 2.5739550072528226
Iteration 166 Error: 2.558136061503299
Iteration 167 Error: 2.5687777799981504
Iteration 168 Error: 2.5523785081514925
Iteration 169 Error: 2.563375120903708
Iteration 170 Error: 2.5537345149473265
Iteration 171 Error: 2.560870124876227
Iteration 172 Error: 2.5795262358137996
Iteration 173 Error: 2.585958433194195
Iteration 174 Error: 2.6213569166901944
Iteration 175 Error: 2.551932932277284
Iteration 176 Error: 2.5922730802355205
Iteration 177 Error: 2.5529382916204266
Iteration 178 Error: 2.5773041433846795
Iteration 179 Error: 2.559799502312329
Iteration 180 Error: 2.5623100438092594
Iteration 181 Error: 2.546532650004463
Iteration 182 Error: 2.53304933070896
Iteration 183 Error: 2.5395057608055582
Iteration 184 Error: 2.5253574633888216
Iteration 185 Error: 2.531452179237053
Iteration 186 Error: 2.516732795401511
Iteration 187 Error: 2.523819365640132
Iteration 188 Error: 2.5126112479378135
Iteration 189 Error: 2.525386583047222
Iteration 190 Error: 2.523012423748946
Iteration 191 Error: 2.578060895204255
Iteration 192 Error: 2.550631605401253
Iteration 193 Error: 2.6385884528775123
Iteration 194 Error: 2.524599483400195
Iteration 195 Error: 2.5678484722633983
Iteration 196 Error: 2.5237088036695305
Iteration 197 Error: 2.561500726236819
Iteration 198 Error: 2.517183153053071
Iteration 199 Error: 2.5415080247457973
Iteration 200 Error: 2.514036108483533
Iteration 201 Error: 2.543605169880902
Iteration 202 Error: 2.510213937547854
